"Rank in the fifty states, 2016","Rank in all states & territories, 2010",*State or territory*,"Population estimate, July 1, 2016","Census population, April 1, 2010","Total seats in House of Representatives, 2013–2023","Estimated pop. per House seat, 2016","Census pop. per House seat, 2010","Percent of total U.S. pop., 2016[note 1]"
7000100000000000000♠1,7000100000000000000♠1,California,"39,250,017","37,254,503",7001530000000000000♠53,"738,581","702,905",12.15%
7000200000000000000♠2,7000200000000000000♠2,Texas,"27,862,596","25,146,105",7001360000000000000♠36,"763,031","698,487",8.62%
7000300000000000000♠3,7000400000000000000♠4,Florida,"20,612,439","18,804,623",7001270000000000000♠27,"750,788","696,345",6.38%
7000400000000000000♠4,7000300000000000000♠3,New York,"19,745,289","19,378,087",7001270000000000000♠27,"733,177","717,707",6.11%
7000500000000000000♠5,7000600000000000000♠6,Pennsylvania,"12,802,503","12,702,887",7001180000000000000♠18,"711,250","705,688",3.96%
7000600000000000000♠6,7000500000000000000♠5,Illinois,"12,801,539","12,831,549",7001180000000000000♠18,"714,444","712,813",3.96%
7000700000000000000♠7,7000700000000000000♠7,Ohio,"11,614,373","11,536,725",7001160000000000000♠16,"725,839","721,032",3.59%
7000800000000000000♠8,7000900000000000000♠9,Georgia,"10,310,371","9,688,681",7001140000000000000♠14,"729,633","691,975",3.19%
7000900000000000000♠9,7001100000000000000♠10,North Carolina,"10,146,788","9,535,692",7001130000000000000♠13,"772,523","733,498",3.14%
7001100000000000000♠10,7000800000000000000♠8,Michigan,"9,928,301","9,884,129",7001140000000000000♠14,"708,755","705,974",3.07%
7001110000000000000♠11,7001110000000000000♠11,New Jersey,"8,944,469","8,791,936",7001120000000000000♠12,"746,501","732,658",2.77%
7001120000000000000♠12,7001120000000000000♠12,Virginia,"8,411,808","8,001,045",7001110000000000000♠11,"762,090","727,366",2.60%
7001130000000000000♠13,7001130000000000000♠13,Washington,"7,288,000","6,724,543",7001100000000000000♠10,"717,035","672,454",2.26%
7001140000000000000♠14,7001160000000000000♠16,Arizona,"6,931,071","6,392,307",7000900000000000000♠9,"758,674","710,224",2.15%
7001150000000000000♠15,7001140000000000000♠14,Massachusetts,"6,811,779","6,547,817",7000900000000000000♠9,"754,936","727,514",2.11%
7001160000000000000♠16,7001170000000000000♠17,Tennessee,"6,651,194","6,346,275",7000900000000000000♠9,"733,367","705,123",2.06%
7001170000000000000♠17,7001150000000000000♠15,Indiana,"6,633,053","6,484,229",7000900000000000000♠9,"735,520","720,422",2.05%
7001180000000000000♠18,7001180000000000000♠18,Missouri,"6,093,000","5,988,927",7000800000000000000♠8,"760,459","748,615",1.89%
7001190000000000000♠19,7001190000000000000♠19,Maryland,"6,016,447","5,773,785",7000800000000000000♠8,"750,800","721,694",1.86%
7001200000000000000♠20,7001200000000000000♠20,Wisconsin,"5,778,708","5,687,289",7000800000000000000♠8,"721,417","710,873",1.79%
7001210000000000000♠21,7001220000000000000♠22,Colorado,"5,540,545","5,029,324",7000700000000000000♠7,"779,511","720,704",1.72%
7001220000000000000♠22,7001210000000000000♠21,Minnesota,"5,519,952","5,303,925",7000800000000000000♠8,"686,199","662,991",1.71%
7001230000000000000♠23,7001240000000000000♠24,South Carolina,"4,961,119","4,625,401",7000700000000000000♠7,"699,449","660,766",1.54%
7001240000000000000♠24,7001230000000000000♠23,Alabama,"4,863,300","4,780,127",7000700000000000000♠7,"694,140","682,819",1.51%
7001250000000000000♠25,7001250000000000000♠25,Louisiana,"4,681,666","4,533,479",7000600000000000000♠6,"778,454","755,562",1.45%
7001260000000000000♠26,7001260000000000000♠26,Kentucky,"4,436,974","4,339,349",7000600000000000000♠6,"737,515","723,228",1.37%
7001270000000000000♠27,7001270000000000000♠27,Oregon,"4,093,465","3,831,073",7000500000000000000♠5,"805,795","766,215",1.27%
7001280000000000000♠28,7001280000000000000♠28,Oklahoma,"3,923,561","3,751,616",7000500000000000000♠5,"782,268","750,270",1.21%
7001290000000000000♠29,7001300000000000000♠30,Connecticut,"3,576,452","3,574,118",7000500000000000000♠5,"718,177","714,819",1.11%
7001710000000000000♠ —,7001290000000000000♠29,Puerto Rico,"3,411,307","3,726,157",1 (non-voting),—,—,1.06%
7001300000000000000♠30,7001310000000000000♠31,Iowa,"3,134,693","3,046,869",7000400000000000000♠4,"780,975","761,589",0.97%
7001310000000000000♠31,7001350000000000000♠35,Utah,"3,051,217","2,763,888",7000400000000000000♠4,"748,083","690,221",0.94%
7001320000000000000♠32,7001320000000000000♠32,Mississippi,"2,988,726","2,968,103",7000400000000000000♠4,"748,083","741,824",0.93%
7001330000000000000♠33,7001330000000000000♠33,Arkansas,"2,988,248","2,915,958",7000400000000000000♠4,"744,551","728,980",0.93%
7001340000000000000♠34,7001360000000000000♠36,Nevada,"2,940,058","2,700,691",7000400000000000000♠4,"722,711","675,110",0.91%
7001350000000000000♠35,7001340000000000000♠34,Kansas,"2,907,289","2,853,132",7000400000000000000♠4,"727,910","713,280",0.90%
7001360000000000000♠36,7001370000000000000♠37,New Mexico,"2,081,015","2,059,192",7000300000000000000♠3,"695,036","686,393",0.64%
7001370000000000000♠37,7001390000000000000♠39,Nebraska,"1,907,116","1,826,341",7000300000000000000♠3,"632,063","608,780",0.59%
7001380000000000000♠38,7001380000000000000♠38,West Virginia,"1,831,102","1,853,011",7000300000000000000♠3,"614,709","617,665",0.57%
7001390000000000000♠39,7001400000000000000♠40,Idaho,"1,683,140","1,567,652",7000200000000000000♠2,"827,465","783,791",0.52%
7001400000000000000♠40,7001410000000000000♠41,Hawaii,"1,428,557","1,360,301",7000200000000000000♠2,"715,802","680,151",0.44%
7001410000000000000♠41,7001430000000000000♠43,New Hampshire,"1,334,795","1,316,466",7000200000000000000♠2,"665,304","658,235",0.41%
7001420000000000000♠42,7001420000000000000♠42,Maine,"1,331,479","1,328,361",7000200000000000000♠2,"664,664","664,181",0.41%
7001430000000000000♠43,7001440000000000000♠44,Rhode Island,"1,056,426","1,052,931",7000200000000000000♠2,"528,149","526,284",0.33%
7001440000000000000♠44,7001450000000000000♠45,Montana,"1,042,520","989,417",7000100000000000000♠1,"1,032,949","989,415",0.32%
7001450000000000000♠45,7001460000000000000♠46,Delaware,"952,065","897,936",7000100000000000000♠1,"952,065","897,934",0.30%
7001460000000000000♠46,7001470000000000000♠47,South Dakota,"865,454","814,191",7000100000000000000♠1,"858,469","814,180",0.27%
7001470000000000000♠47,7001490000000000000♠49,North Dakota,"757,952","672,591",7000100000000000000♠1,"756,927","672,591",0.24%
7001480000000000000♠48,7001480000000000000♠48,Alaska,"741,894","710,249",7000100000000000000♠1,"741,894","710,231",0.23%
7001610000000000000♠—,7001510000000000000♠51,District of Columbia,"681,170","601,767",1 (non-voting),—,—,0.21%
7001490000000000000♠49,7001500000000000000♠50,Vermont,"624,594","625,745",7000100000000000000♠1,"626,042","625,741",0.19%
7001500000000000000♠50,7001520000000000000♠52,Wyoming,"585,501","563,767",7000100000000000000♠1,"586,107","563,626",0.18%
7001720000000000000♠—,7001530000000000000♠53,Guam,"161,785","159,358[4]",1 (non-voting),—,—,0.06%
7001730000000000000♠—,7001540000000000000♠54,U.S. Virgin Islands,"103,574","106,405[5]",1 (non-voting),—,—,0.04%
